Constructor,D.O.B,Driver,Grid Pos,Nationality,Podium,Points,Round,Season,Status,Time,Track,URL
hesketh,1958-01-10,cheever,25,American,25,0.0,3,1978,Oil leak,,kyalami,http://en.wikipedia.org/wiki/1978_South_African_Grand_Prix
mclaren,1947-08-29,hunt,3,British,26,0.0,3,1978,Engine,,kyalami,http://en.wikipedia.org/wiki/1978_South_African_Grand_Prix
martini,1948-07-04,arnoux,0,French,27,0.0,3,1978,Did not qualify,,kyalami,http://en.wikipedia.org/wiki/1978_South_African_Grand_Prix
shadow,1939-09-05,regazzoni,0,Swiss,28,0.0,3,1978,Did not qualify,,kyalami,http://en.wikipedia.org/wiki/1978_South_African_Grand_Prix
ensign,1953-05-24,leoni,0,Italian,29,0.0,3,1978,Did not qualify,,kyalami,http://en.wikipedia.org/wiki/1978_South_African_Grand_Prix
shadow,1951-01-01,stuck,0,German,30,0.0,3,1978,Did not qualify,,kyalami,http://en.wikipedia.org/wiki/1978_South_African_Grand_Prix
ferrari,1942-04-12,reutemann,1,Argentine,1,9.0,4,1978,Finished,6721301.0,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
team_lotus,1940-02-28,mario_andretti,4,American,2,6.0,4,1978,Finished,6732362.0,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
tyrrell,1944-08-09,depailler,12,French,3,4.0,4,1978,Finished,6750252.0,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
team_lotus,1944-02-14,peterson,6,Swedish,4,3.0,4,1978,Finished,6766904.0,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
ligier,1943-11-21,laffite,14,French,5,2.0,4,1978,Finished,6804185.0,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
arrows,1954-04-17,patrese,9,Italian,6,1.0,4,1978,+1 Lap,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
williams,1946-11-02,jones,8,Australian,7,0.0,4,1978,+1 Lap,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
fittipaldi,1946-12-12,emerson_fittipaldi,15,Brazilian,8,0.0,4,1978,+1 Lap,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
arrows,1943-07-11,stommelen,18,German,9,0.0,4,1978,+1 Lap,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
shadow,1939-09-05,regazzoni,20,Swiss,10,0.0,4,1978,+1 Lap,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
ats,1946-07-10,jarier,19,French,11,0.0,4,1978,+5 Laps,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
mclaren,1949-06-25,tambay,11,French,12,0.0,4,1978,Accident,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
wolf,1950-01-29,scheckter,10,South African,13,0.0,4,1978,Accident,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
surtees,1937-11-11,brambilla,17,Italian,14,0.0,4,1978,Transmission,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
renault,1942-10-01,jabouille,13,French,15,0.0,4,1978,Turbo,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
ferrari,1950-01-18,gilles_villeneuve,2,Canadian,16,0.0,4,1978,Accident,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
brabham,1949-02-22,lauda,3,Austrian,17,0.0,4,1978,Ignition,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
tyrrell,1952-03-26,pironi,22,French,18,0.0,4,1978,Gearbox,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
merzario,1943-03-11,merzario,21,Italian,19,0.0,4,1978,Gearbox,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
ats,1946-09-30,mass,16,German,20,0.0,4,1978,Brakes,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
brabham,1946-05-04,watson,5,British,21,0.0,4,1978,Gearbox,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
mclaren,1947-08-29,hunt,7,British,22,0.0,4,1978,Accident,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
surtees,1955-02-26,keegan,0,British,23,0.0,4,1978,Accident,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
shadow,1951-01-01,stuck,0,German,24,0.0,4,1978,Accident,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
mclaren,1945-11-14,lunger,0,American,25,0.0,4,1978,Did not qualify,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
ensign,1953-05-24,leoni,0,Italian,26,0.0,4,1978,Did not qualify,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
theodore,1948-12-06,keke_rosberg,0,Finnish,27,0.0,4,1978,Did not prequalify,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
team_lotus,1956-02-05,rebaque,0,Mexican,28,0.0,4,1978,Did not prequalify,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
shadow,1942-05-21,ongais,0,American,29,0.0,4,1978,Did not prequalify,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
hesketh,1953-03-11,daly,0,Irish,30,0.0,4,1978,Did not prequalify,,long_beach,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
tyrrell,1944-08-09,depailler,5,French,1,9.0,5,1978,Finished,6914660.0,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
brabham,1949-02-22,lauda,3,Austrian,2,6.0,5,1978,Finished,6937110.0,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
wolf,1950-01-29,scheckter,9,South African,3,4.0,5,1978,Finished,6946950.0,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
brabham,1946-05-04,watson,2,British,4,3.0,5,1978,Finished,6948190.0,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
tyrrell,1952-03-26,pironi,13,French,5,2.0,5,1978,Finished,6982720.0,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
arrows,1954-04-17,patrese,14,Italian,6,1.0,5,1978,Finished,6983430.0,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
mclaren,1949-06-25,tambay,11,French,7,0.0,5,1978,+1 Lap,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
ferrari,1942-04-12,reutemann,1,Argentine,8,0.0,5,1978,+1 Lap,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
fittipaldi,1946-12-12,emerson_fittipaldi,20,Brazilian,9,0.0,5,1978,+1 Lap,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
renault,1942-10-01,jabouille,12,French,10,0.0,5,1978,+4 Laps,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
team_lotus,1940-02-28,mario_andretti,4,American,11,0.0,5,1978,+6 Laps,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
ferrari,1950-01-18,gilles_villeneuve,8,Canadian,12,0.0,5,1978,Accident,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
team_lotus,1944-02-14,peterson,7,Swedish,13,0.0,5,1978,Gearbox,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
mclaren,1947-08-29,hunt,6,British,14,0.0,5,1978,Handling,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
arrows,1943-07-11,stommelen,19,German,15,0.0,5,1978,Driver unwell,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
williams,1946-11-02,jones,10,Australian,16,0.0,5,1978,Oil leak,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
ensign,1945-01-01,ickx,16,Belgian,17,0.0,5,1978,Brakes,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
shadow,1951-01-01,stuck,17,German,18,0.0,5,1978,Accident,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
ligier,1943-11-21,laffite,15,French,19,0.0,5,1978,Gearbox,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
surtees,1955-02-26,keegan,18,British,20,0.0,5,1978,Transmission,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
ats,1946-09-30,mass,0,German,21,0.0,5,1978,Did not qualify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
shadow,1939-09-05,regazzoni,0,Swiss,22,0.0,5,1978,Did not qualify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
ats,1946-07-10,jarier,0,French,23,0.0,5,1978,Did not qualify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
surtees,1937-11-11,brambilla,0,Italian,24,0.0,5,1978,Did not qualify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
theodore,1948-12-06,keke_rosberg,0,Finnish,25,0.0,5,1978,Did not prequalify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
hesketh,1953-03-11,daly,0,Irish,26,0.0,5,1978,Did not prequalify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
martini,1948-07-04,arnoux,0,French,27,0.0,5,1978,Did not prequalify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
team_lotus,1956-02-05,rebaque,0,Mexican,28,0.0,5,1978,Did not prequalify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
mclaren,1945-11-14,lunger,0,American,29,0.0,5,1978,Did not prequalify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
merzario,1943-03-11,merzario,0,Italian,30,0.0,5,1978,Did not prequalify,,monaco,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
team_lotus,1940-02-28,mario_andretti,1,American,1,9.0,6,1978,Finished,5992020.0,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
team_lotus,1944-02-14,peterson,7,Swedish,2,6.0,6,1978,Finished,6001920.0,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
ferrari,1942-04-12,reutemann,2,Argentine,3,4.0,6,1978,Finished,6016360.0,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
ferrari,1950-01-18,gilles_villeneuve,4,Canadian,4,3.0,6,1978,Finished,6039060.0,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
ligier,1943-11-21,laffite,14,French,5,2.0,6,1978,Accident,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
tyrrell,1952-03-26,pironi,23,French,6,1.0,6,1978,+1 Lap,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
mclaren,1945-11-14,lunger,24,American,7,0.0,6,1978,+1 Lap,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
mclaren,1952-09-10,giacomelli,21,Italian,8,0.0,6,1978,+1 Lap,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
martini,1948-07-04,arnoux,19,French,9,0.0,6,1978,+2 Laps,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
williams,1946-11-02,jones,11,Australian,10,0.0,6,1978,+2 Laps,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
ats,1946-09-30,mass,16,German,11,0.0,6,1978,+2 Laps,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
ensign,1945-01-01,ickx,22,Belgian,12,0.0,6,1978,+6 Laps,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
surtees,1937-11-11,brambilla,12,Italian,13,0.0,6,1978,Engine,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
shadow,1951-01-01,stuck,10,German,14,0.0,6,1978,Spun off,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
renault,1942-10-01,jabouille,20,French,15,0.0,6,1978,Not classified,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
wolf,1950-01-29,scheckter,5,South African,16,0.0,6,1978,Spun off,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
tyrrell,1944-08-09,depailler,13,French,17,0.0,6,1978,Gearbox,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
shadow,1939-09-05,regazzoni,18,Swiss,18,0.0,6,1978,Transmission,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
arrows,1954-04-17,patrese,8,Italian,19,0.0,6,1978,Suspension,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
arrows,1943-07-11,stommelen,17,German,20,0.0,6,1978,Spun off,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
brabham,1946-05-04,watson,9,British,21,0.0,6,1978,Accident,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
brabham,1949-02-22,lauda,3,Austrian,22,0.0,6,1978,Accident,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
mclaren,1947-08-29,hunt,6,British,23,0.0,6,1978,Accident,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
fittipaldi,1946-12-12,emerson_fittipaldi,15,Brazilian,24,0.0,6,1978,Accident,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
surtees,1955-02-26,keegan,0,British,25,0.0,6,1978,Did not qualify,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
hesketh,1953-03-11,daly,0,Irish,26,0.0,6,1978,Did not qualify,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
theodore,1948-12-06,keke_rosberg,0,Finnish,27,0.0,6,1978,Did not qualify,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
ats,1946-02-23,colombo,0,Italian,28,0.0,6,1978,Did not qualify,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
team_lotus,1956-02-05,rebaque,0,Mexican,29,0.0,6,1978,Did not prequalify,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
merzario,1943-03-11,merzario,0,Italian,30,0.0,6,1978,Did not prequalify,,zolder,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
team_lotus,1940-02-28,mario_andretti,1,American,1,9.0,7,1978,Finished,6107060.0,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
team_lotus,1944-02-14,peterson,2,Swedish,2,6.0,7,1978,Finished,6126620.0,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
ligier,1943-11-21,laffite,10,French,3,4.0,7,1978,Finished,6144300.0,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
wolf,1950-01-29,scheckter,9,South African,4,3.0,7,1978,Finished,6167120.0,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
brabham,1946-05-04,watson,7,British,5,2.0,7,1978,Finished,6172990.0,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
mclaren,1947-08-29,hunt,4,British,6,1.0,7,1978,+1 Lap,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
surtees,1937-11-11,brambilla,16,Italian,7,0.0,7,1978,+1 Lap,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
williams,1946-11-02,jones,18,Australian,8,0.0,7,1978,+1 Lap,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
ats,1946-09-30,mass,17,German,9,0.0,7,1978,+1 Lap,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
ferrari,1950-01-18,gilles_villeneuve,5,Canadian,10,0.0,7,1978,+1 Lap,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
surtees,1955-02-26,keegan,23,British,11,0.0,7,1978,+2 Laps,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
tyrrell,1952-03-26,pironi,13,French,12,0.0,7,1978,+4 Laps,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
renault,1942-10-01,jabouille,11,French,13,0.0,7,1978,+4 Laps,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
arrows,1943-07-11,stommelen,19,German,14,0.0,7,1978,+4 Laps,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
shadow,1939-09-05,regazzoni,22,Swiss,15,0.0,7,1978,Fuel pipe,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
ensign,1945-01-01,ickx,21,Belgian,16,0.0,7,1978,Engine,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
fittipaldi,1946-12-12,emerson_fittipaldi,15,Brazilian,17,0.0,7,1978,Throttle,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
ferrari,1942-04-12,reutemann,3,Argentine,18,0.0,7,1978,Accident,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
brabham,1949-02-22,lauda,6,Austrian,19,0.0,7,1978,Engine,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
tyrrell,1944-08-09,depailler,12,French,20,0.0,7,1978,Engine,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
shadow,1951-01-01,stuck,24,German,21,0.0,7,1978,Suspension,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
arrows,1954-04-17,patrese,8,Italian,22,0.0,7,1978,Engine,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
team_lotus,1956-02-05,rebaque,20,Mexican,23,0.0,7,1978,Exhaust,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
mclaren,1949-06-25,tambay,14,French,24,0.0,7,1978,Spun off,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
merzario,1943-03-11,merzario,0,Italian,25,0.0,7,1978,Did not qualify,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
mclaren,1945-11-14,lunger,0,American,26,0.0,7,1978,Did not qualify,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
mclaren,1946-07-26,villota,0,Spanish,27,0.0,7,1978,Did not qualify,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
ats,1946-02-23,colombo,0,Italian,28,0.0,7,1978,Did not qualify,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
theodore,1948-12-06,keke_rosberg,0,Finnish,29,0.0,7,1978,Did not prequalify,,jarama,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
brabham,1949-02-22,lauda,3,Austrian,1,9.0,8,1978,Finished,6060606.0,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
arrows,1954-04-17,patrese,5,Italian,2,6.0,8,1978,Finished,6094625.0,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
team_lotus,1944-02-14,peterson,4,Swedish,3,4.0,8,1978,Finished,6094711.0,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
mclaren,1949-06-25,tambay,15,French,4,3.0,8,1978,+1 Lap,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
shadow,1939-09-05,regazzoni,16,Swiss,5,2.0,8,1978,+1 Lap,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
fittipaldi,1946-12-12,emerson_fittipaldi,13,Brazilian,6,1.0,8,1978,+1 Lap,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
ligier,1943-11-21,laffite,11,French,7,0.0,8,1978,+1 Lap,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
mclaren,1947-08-29,hunt,14,British,8,0.0,8,1978,+1 Lap,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
ferrari,1950-01-18,gilles_villeneuve,7,Canadian,9,0.0,8,1978,+1 Lap,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
ferrari,1942-04-12,reutemann,8,Argentine,10,0.0,8,1978,+1 Lap,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
shadow,1951-01-01,stuck,20,German,11,0.0,8,1978,+2 Laps,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
team_lotus,1956-02-05,rebaque,21,Mexican,12,0.0,8,1978,+2 Laps,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
ats,1946-09-30,mass,19,German,13,0.0,8,1978,+2 Laps,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
arrows,1943-07-11,stommelen,24,German,14,0.0,8,1978,+3 Laps,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
ats,1948-12-06,keke_rosberg,23,Finnish,15,0.0,8,1978,+7 Laps,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
merzario,1943-03-11,merzario,22,Italian,16,0.0,8,1978,+8 Laps,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
team_lotus,1940-02-28,mario_andretti,1,American,17,0.0,8,1978,Engine,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
williams,1946-11-02,jones,9,Australian,18,0.0,8,1978,Wheel,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
tyrrell,1944-08-09,depailler,12,French,19,0.0,8,1978,Suspension,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
renault,1942-10-01,jabouille,10,French,20,0.0,8,1978,Engine,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
brabham,1946-05-04,watson,2,British,21,0.0,8,1978,Spun off,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
wolf,1950-01-29,scheckter,6,South African,22,0.0,8,1978,Overheating,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
tyrrell,1952-03-26,pironi,17,French,23,0.0,8,1978,Accident,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
surtees,1937-11-11,brambilla,18,Italian,24,0.0,8,1978,Accident,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
surtees,1955-02-26,keegan,0,British,25,0.0,8,1978,Did not qualify,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
mclaren,1945-11-14,lunger,0,American,26,0.0,8,1978,Did not qualify,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
ensign,1945-01-01,ickx,0,Belgian,27,0.0,8,1978,Did not qualify,,anderstorp,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
team_lotus,1940-02-28,mario_andretti,2,American,1,9.0,9,1978,Finished,5931920.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
team_lotus,1944-02-14,peterson,5,Swedish,2,6.0,9,1978,Finished,5934850.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
mclaren,1947-08-29,hunt,4,British,3,4.0,9,1978,Finished,5951720.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
brabham,1946-05-04,watson,1,British,4,3.0,9,1978,Finished,5968800.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
williams,1946-11-02,jones,14,Australian,5,2.0,9,1978,Finished,5973730.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
wolf,1950-01-29,scheckter,7,South African,6,1.0,9,1978,Finished,5986450.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
ligier,1943-11-21,laffite,10,French,7,0.0,9,1978,Finished,5986660.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
arrows,1954-04-17,patrese,12,Italian,8,0.0,9,1978,Finished,6016800.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
mclaren,1949-06-25,tambay,6,French,9,0.0,9,1978,Finished,6018980.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
tyrrell,1952-03-26,pironi,16,French,10,0.0,9,1978,Finished,6021900.0,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
shadow,1951-01-01,stuck,20,German,11,0.0,9,1978,+1 Lap,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
ferrari,1950-01-18,gilles_villeneuve,9,Canadian,12,0.0,9,1978,+1 Lap,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
ats,1946-09-30,mass,25,German,13,0.0,9,1978,+1 Lap,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
martini,1948-07-04,arnoux,18,French,14,0.0,9,1978,+1 Lap,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
arrows,1943-07-11,stommelen,21,German,15,0.0,9,1978,+1 Lap,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
ats,1948-12-06,keke_rosberg,26,Finnish,16,0.0,9,1978,+2 Laps,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
surtees,1937-11-11,brambilla,19,Italian,17,0.0,9,1978,+2 Laps,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
ferrari,1942-04-12,reutemann,8,Argentine,18,0.0,9,1978,+5 Laps,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
mclaren,1945-11-14,lunger,24,American,19,0.0,9,1978,Engine,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
fittipaldi,1946-12-12,emerson_fittipaldi,15,Brazilian,20,0.0,9,1978,Suspension,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
surtees,1955-02-26,keegan,23,British,21,0.0,9,1978,Engine,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
mclaren,1952-09-10,giacomelli,22,Italian,22,0.0,9,1978,Engine,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
brabham,1949-02-22,lauda,3,Austrian,23,0.0,9,1978,Engine,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
tyrrell,1944-08-09,depailler,13,French,24,0.0,9,1978,Engine,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
shadow,1939-09-05,regazzoni,17,Swiss,25,0.0,9,1978,Electrical,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
renault,1942-10-01,jabouille,11,French,26,0.0,9,1978,Engine,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
merzario,1943-03-11,merzario,0,Italian,27,0.0,9,1978,Did not qualify,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
ensign,1953-03-11,daly,0,Irish,28,0.0,9,1978,Did not qualify,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
team_lotus,1956-02-05,rebaque,0,Mexican,29,0.0,9,1978,Did not qualify,,ricard,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
ferrari,1942-04-12,reutemann,8,Argentine,1,9.0,10,1978,Finished,6132390.0,brands_hatch,http://en.wikipedia.org/wiki/1978_British_Grand_Prix
