Round: 0,Country,Date,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
409,USA,1985-06-23,Clear and cool with temperatures reaching up to 80.1 °F (26.7 °C); wind speeds up to 23 miles per hour (37 km/h)[1],11,11,0,0,0
410,France,1985-07-07,N/A,0,0,0,0,0
411,UK,1985-07-21,"Cool, overcast",0,0,0,0,11
412,Germany,1985-08-04,N/A,0,0,0,0,0
413,Austria,1985-08-18,Dry,0,0,11,0,0
414,Netherlands,1985-08-25,Sunny,11,0,0,0,0
415,Italy,1985-09-08,Dry,0,0,11,0,0
416,Belgium,1985-09-15,"Wet/Dry, drying up in later stages",0,0,0,0,0
417,UK,1985-10-06,N/A,0,0,0,0,0
418,South Africa,1985-10-19,Dry,0,0,11,0,0
419,Australia,1985-11-03,Sunny,11,0,0,0,0
420,Brazil,1986-03-23,N/A,0,0,0,0,0
421,Spain,1986-04-13,"Warm, dry and sunny",11,0,11,0,0
422,Italy,1986-04-27,"Overcast, warm",11,0,0,0,0
423,Monaco,1986-05-11,"Sunny, mild, dry",0,0,11,0,0
424,Belgium,1986-05-25,Dry,0,0,11,0,0
425,Canada,1986-06-15,Dry with temperatures approaching 25 °C (77 °F); wind speeds up to 20.5 km/h (12.7 mph)[1],0,0,11,0,0
426,USA,1986-06-22,Cloudy and hot with temperatures reaching up to 91 °F (33 °C); wind speeds up to 23 miles per hour (37 km/h)[1],11,0,0,0,11
427,France,1986-07-06,Dry,0,0,11,0,0
428,UK,1986-07-13,N/A,0,0,0,0,0
429,Germany,1986-07-27,Dry,0,0,11,0,0
430,Hungary,1986-08-10,N/A,0,0,0,0,0
431,Austria,1986-08-17,Dry,0,0,11,0,0
432,Italy,1986-09-07,Dry,0,0,11,0,0
433,Portugal,1986-09-21,Dry,0,0,11,0,0
434,Mexico,1986-10-12,Sunny and hot,11,0,0,0,0
435,Australia,1986-10-26,Sunny,11,0,0,0,0
436,Brazil,1987-04-12,Sunny,11,0,0,0,0
437,Italy,1987-05-03,"Sunny, warm",11,0,0,0,0
438,Belgium,1987-05-17,N/A,0,0,0,0,0
439,Monaco,1987-05-31,Sunny and warm,11,0,0,0,0
440,USA,1987-06-21,Clear with rain showers later on; temperatures reaching up to 78.1 °F (25.6 °C); wind speeds up to 19.6 miles per hour (31.5 km/h)[1],11,0,0,11,0
441,France,1987-07-05,N/A,0,0,0,0,0
442,UK,1987-07-12,Sunny and warm,11,0,0,0,0
443,Germany,1987-07-26,N/A,0,0,0,0,0
444,Hungary,1987-08-09,Dry,0,0,11,0,0
445,Austria,1987-08-16,Dry,0,0,11,0,0
446,Italy,1987-09-06,Dry,0,0,11,0,0
447,Portugal,1987-09-20,Dry,0,0,11,0,0
448,Spain,1987-09-27,Sunny and hot,11,0,0,0,0
449,Mexico,1987-10-18,N/A,0,0,0,0,0
450,Japan,1987-11-01,Dry,0,0,11,0,0
451,Australia,1987-11-15,Sunny,11,0,0,0,0
452,Brazil,1988-04-03,Cloudy and hot,11,0,0,0,11
453,Italy,1988-05-01,"Sunny, warm",11,0,0,0,0
454,Monaco,1988-05-15,Warm and dry,11,0,11,0,0
455,Mexico,1988-05-29,Sunny and hot,11,0,0,0,0
456,Canada,1988-06-12,Sunny and hot with temperatures up to 29 °C (84 °F); wind speeds up to 19 kilometres per hour (12 mph)[1],11,0,0,0,0
457,USA,1988-06-19,Warm and sunny with temperatures up to 91.9 °F (33.3 °C); wind speeds up to 11.1 miles per hour (17.9 km/h)[1],11,0,0,0,0
458,France,1988-07-03,Sunny and hot,11,0,0,0,0
459,UK,1988-07-10,Wet and cool,0,11,0,11,0
460,Germany,1988-07-24,Wet and cool,0,11,0,11,0
461,Hungary,1988-08-07,Sunny and hot,11,0,0,0,0
462,Belgium,1988-08-28,N/A,0,0,0,0,0
463,Italy,1988-09-11,Sunny and hot,11,0,0,0,0
464,Portugal,1988-09-25,Sunny and hot,11,0,0,0,0
465,Spain,1988-10-02,Sunny and hot,11,0,0,0,0
466,Japan,1988-10-30,"Cool and mainly dry, some rain toward the end",0,11,0,11,0
467,Australia,1988-11-13,N/A,0,0,0,0,0
468,Brazil,1989-03-26,"Very hot, dry, sunny",11,0,0,0,0
469,Italy,1989-04-23,N/A,0,0,0,0,0
470,Monaco,1989-05-07,"Warm, dry, sunny",11,0,0,0,0
471,Mexico,1989-05-28,"Hot, dry, partly sunny 25°C/79°F, 40% Humidity, wind NW-10mph",11,0,0,0,0
472,USA,1989-06-04,"Hot, sunny, 36C (97F) [1]",0,0,0,0,0
473,Canada,1989-06-18,Cool and rainy with temperatures approaching 24 °C (75 °F); wind speeds up to 17.9 kilometres per hour (11.1 mph)[1],0,11,0,11,0
474,France,1989-07-09,N/A,0,0,0,0,0
475,UK,1989-07-16,"Warm, dry, sunny",11,0,0,0,0
476,Germany,1989-07-30,"Warm, cloudy",0,0,0,0,11
477,Hungary,1989-08-13,N/A,0,0,0,0,0
478,Belgium,1989-08-27,N/A,0,0,0,0,0
479,Italy,1989-09-10,"Hot, dry, sunny",11,0,0,0,0
480,Portugal,1989-09-24,"Hot, dry, sunny",11,0,0,0,0
481,Spain,1989-10-01,"Dry, hot, sunny",11,0,0,0,0
482,Japan,1989-10-22,"Dry, warm, cloudy",0,0,0,0,11
483,Australia,1989-11-05,N/A,0,0,0,0,0
484,USA,1990-03-11,Cloudy and cool with temperatures reaching up to 18 °C (64 °F)[1],0,11,0,0,11
485,Brazil,1990-03-25,"Hot, dry, sunny",11,0,0,0,0
486,Italy,1990-05-13,"Warm, dry, sunny",11,0,0,0,0
487,Monaco,1990-05-27,"Warm, dry, sunny",11,0,0,0,0
488,Canada,1990-06-10,Warm and cloudy with temperatures approaching 19.8 °C (67.6 °F); wind speeds up to 27.8 kilometres per hour (17.3 mph)[1],11,0,0,0,11
489,Mexico,1990-06-24,Overcast21 °C (70 °F)[1],0,0,0,0,0
490,France,1990-07-08,N/A,0,0,0,0,0
491,UK,1990-07-15,N/A,0,0,0,0,0
492,Germany,1990-07-29,"Hot, dry, sunny",11,0,0,0,0
493,Hungary,1990-08-12,Dry,0,0,11,0,0
494,Belgium,1990-08-26,N/A,0,0,0,0,0
495,Italy,1990-09-09,"Hot, dry, sunny",11,0,0,0,0
496,Portugal,1990-09-23,N/A,0,0,0,0,0
497,Spain,1990-09-30,"Dry, hot, sunny",11,0,0,0,0
498,Japan,1990-10-21,Sunny,11,0,0,0,0
499,Australia,1990-11-04,Sunny,11,0,0,0,0
500,USA,1991-03-10,Overcast25 °C (77 °F)[1],0,0,0,0,0
501,Brazil,1991-03-24,"Cloudy at start, rainy later. Ambient temperature: 29.4°C (85°F).Humidity: 95%.Wind speed: 33.7 km/h (21 mph).",0,0,0,11,11
502,Italy,1991-04-28,"Wet at start, dry by finish",0,0,11,11,0
503,Monaco,1991-05-12,N/A,0,0,0,0,0
504,Canada,1991-06-02,Mild with temperatures approaching 25 °C (77 °F); wind speeds up to 12 kilometres per hour (7.5 mph)[1],11,0,0,0,0
505,Mexico,1991-06-16,Mostly Cloudy24 °C (75 °F)[1],0,0,0,0,0
506,France,1991-07-07,N/A,0,0,0,0,0
507,UK,1991-07-14,"Hot, dry, sunny",11,0,0,0,0
508,Germany,1991-07-28,Hot and sunny,11,0,0,0,0
509,Hungary,1991-08-11,"Hot dry, sunny",11,0,0,0,0
510,Belgium,1991-08-25,N/A,0,0,0,0,0
511,Italy,1991-09-08,Sunny and warm,11,0,0,0,0
512,Portugal,1991-09-22,Sunny and warm,11,0,0,0,0
513,Spain,1991-09-29,"Warm and overcast, drying",11,0,0,0,0
514,Japan,1991-10-20,"Sunny, warm",11,0,0,0,0
515,Australia,1991-11-03,Torrential rain,0,0,0,11,0
516,South Africa,1992-03-01,"Hot, dry and dull",0,0,11,0,0
517,Mexico,1992-03-22,Scattered Clouds27 °C (81 °F)[1],0,0,0,0,0
518,Brazil,1992-04-05,Dry,0,0,11,0,0
519,Spain,1992-05-03,"Dry at start, wet later",0,0,11,11,0
520,Italy,1992-05-17,Sunny,11,0,0,0,0
521,Monaco,1992-05-31,Dry,0,0,11,0,0
522,Canada,1992-06-14,Dry with temperatures reaching up to 25 °C (77 °F); wind speeds up to 14 kilometres per hour (8.7 mph)[1],0,0,11,0,0
523,France,1992-07-05,N/A,0,0,0,0,0
524,UK,1992-07-12,Dry,0,0,11,0,0
525,Germany,1992-07-26,Dry,0,0,11,0,0
526,Hungary,1992-08-16,Dry,0,0,11,0,0
527,Belgium,1992-08-30,N/A,0,0,0,0,0
528,Italy,1992-09-13,Sunny and warm,11,0,0,0,0
529,Portugal,1992-09-27,"Dry, sunny, windy",0,0,0,0,0
530,Japan,1992-10-25,"Dry, warm, cloudy",0,0,0,0,11
531,Australia,1992-11-08,Cloudy,0,0,0,0,11
532,South Africa,1993-03-14,N/A,0,0,0,0,0
533,Brazil,1993-03-28,Dry first then torrential rain; later drying and staying dry for the rest of the race,0,0,11,0,0
534,UK,1993-04-11,"Very cold, rain with dry spells",0,0,11,11,0
535,Italy,1993-04-25,"Wet at start, dry later",0,0,11,11,0
536,Spain,1993-05-09,Sunny,11,0,0,0,0
537,Monaco,1993-05-23,"Partly cloudy, mild, dry",0,0,11,0,0
538,Canada,1993-06-13,Temperatures reaching up to 29 °C (84 °F); wind speeds up to 18.3 kilometres per hour (11.4 mph)[1],0,0,0,0,0
539,France,1993-07-04,N/A,0,0,0,0,0
540,UK,1993-07-11,Dry,0,0,11,0,0
541,Germany,1993-07-25,N/A,0,0,0,0,0
542,Hungary,1993-08-15,N/A,0,0,0,0,0
543,Belgium,1993-08-29,N/A,0,0,0,0,0
544,Italy,1993-09-12,Hot and sunny,11,0,0,0,0
545,Portugal,1993-09-26,"Dry, sunny, windy",0,0,0,0,0
546,Japan,1993-10-24,"Dry/wet, warm, cloudy",0,0,0,0,11
547,Australia,1993-11-07,Sunny,11,0,0,0,0
548,Brazil,1994-03-27,Sunny,11,0,0,0,0
549,Japan,1994-04-17,Sunny,11,0,0,0,0
550,Italy,1994-05-01,Sunny,11,0,0,0,0
551,Monaco,1994-05-15,Sunny,11,0,0,0,0
552,Spain,1994-05-29,Sunny,11,0,0,0,0
553,Canada,1994-06-12,Temperatures approaching 26.3 °C (79.3 °F); wind speeds up to 21 kilometres per hour (13 mph)[1],0,0,0,0,0
554,France,1994-07-03,Sunny,11,0,0,0,0
555,UK,1994-07-10,Sunny,11,0,0,0,0
556,Germany,1994-07-31,N/A,0,0,0,0,0
557,Hungary,1994-08-14,Sunny,11,0,0,0,0
558,Belgium,1994-08-28,N/A,0,0,0,0,0
559,Italy,1994-09-11,Sunny,11,0,0,0,0
560,Portugal,1994-09-25,Sunny,11,0,0,0,0
561,Spain,1994-10-16,Sunny,11,0,0,0,0
562,Japan,1994-11-06,N/A,0,0,0,0,0
563,Australia,1994-11-13,Sunny,11,0,0,0,0
564,Brazil,1995-03-26,Overcast,0,0,0,0,11
565,Argentina,1995-04-09,Cloudy,0,0,0,0,11
566,Italy,1995-04-30,"Heavy rain before the start, before brightening up",0,0,0,11,0
567,Spain,1995-05-14,Sunny,11,0,0,0,0
568,Monaco,1995-05-28,"Warm, sunny",11,0,0,0,0
569,Canada,1995-06-11,"Cloudy at start, sunny later with temperatures reaching up to 24.3 °C (75.7 °F); wind speeds up to 8 kilometres per hour (5.0 mph)[1]",11,0,0,0,11
570,France,1995-07-02,"Cloudy, light drizzle at times",0,0,0,0,0
571,UK,1995-07-16,"Warm, cloudy, windy",0,0,0,0,0
572,Germany,1995-07-30,"Sunny, 28°C",0,0,0,0,0
573,Hungary,1995-08-13,Sunny,11,0,0,0,0
574,Belgium,1995-08-27,N/A,0,0,0,0,0
575,Italy,1995-09-10,Sunny,11,0,0,0,0
576,Portugal,1995-09-24,Sunny,11,0,0,0,0
577,Germany,1995-10-01,"Rain, later dried out, air temperature 11 °C (52 °F)",0,0,0,0,0
578,Japan,1995-10-22,"Cloudy, dry",0,0,11,0,0
579,Japan,1995-10-29,"Rain, later dried out",0,0,0,0,0
580,Australia,1995-11-12,Sunny[2],0,0,0,0,0
581,Australia,1996-03-10,Dry with temperatures reaching up to 23 °C (73 °F)[1],0,0,11,0,0
582,Brazil,1996-03-31,N/A,0,0,0,0,0
583,Argentina,1996-04-07,Dry with temperatures reaching up to 21 °C (70 °F)[1],0,0,11,0,0
584,Germany,1996-04-28,"Cloudy, but dry",0,0,11,0,0
585,Italy,1996-05-05,Sunny,11,0,0,0,0
586,Monaco,1996-05-19,"Overcast, mild, wet at first, drying later, light rain at finish",0,0,0,11,0
587,Spain,1996-06-02,Rain,0,0,0,11,0
588,Canada,1996-06-16,N/A,0,0,0,0,0
589,France,1996-06-30,Dry,0,0,11,0,0
590,UK,1996-07-14,Warm and sunny with temperatures reaching up to 25 °C (77 °F)[1],11,0,0,0,0
591,Germany,1996-07-28,"Sunny, dry",0,0,11,0,0
592,Hungary,1996-08-11,Sunny with temperatures reaching up to 27 °C (81 °F)[1],11,0,0,0,0
593,Belgium,1996-08-25,N/A,0,0,0,0,0
594,Italy,1996-09-08,Dry,0,0,11,0,0
595,Portugal,1996-09-22,Mostly sunny with ambient temperatures reaching 25 °C during the day.,11,0,0,0,0
596,Japan,1996-10-13,"Sunny, mild and dry",11,0,11,0,0
597,Australia,1997-03-09,"Partly Cloudy, Dry",0,0,11,0,0
598,Brazil,1997-03-30,Overcast and dry with temperatures reaching up to 23 °C (73 °F)[1],0,0,11,0,11
599,Argentina,1997-04-13,"Partially cloudy and dry, with temperatures reaching up to 21 °C (70 °F)[1]",0,0,0,0,11
600,Italy,1997-04-27,"Cloudy, Dry, 17 °C",0,0,0,0,0
601,Monaco,1997-05-11,"Overcast, cold and rain, air temperature 11C or 51F",0,11,0,0,0
602,Spain,1997-05-25,Clear,11,0,0,0,0
603,Canada,1997-06-15,Clear and mild with temperatures approaching 22.7 °C (72.9 °F); wind speeds up to 4.1 kilometres per hour (2.5 mph)[1],11,0,0,0,0
604,France,1997-06-29,N/A,0,0,0,0,0
605,UK,1997-07-13,"Sunny, Dry Track",0,0,11,0,0
606,Germany,1997-07-27,"Sunny, dry track",0,0,11,0,0
607,Hungary,1997-08-10,"Sunny, Dry Track, 27°C",0,0,11,0,0
608,Belgium,1997-08-24,"Wet, then drying out with temperatures reaching up to 28 °C (82 °F)[1]",0,0,0,0,0
609,Italy,1997-09-07,Dry with temperatures reaching up to 29 °C (84 °F)[1],0,0,11,0,0
610,Austria,1997-09-21,Sunny,11,0,0,0,0
611,Germany,1997-09-28,"Partially cloudy, mild and dry",11,0,11,0,0
612,Japan,1997-10-12,Sunny[1],0,0,0,0,0
613,Spain,1997-10-26,Sunny with temperatures reaching up to 25 °C (77 °F)[1],11,0,0,0,0
614,Australia,1998-03-08,"Clear with maximum temperatures reaching 24 degrees at the start, increasing to 30 degrees by the end of the race.",11,0,0,0,0
615,Brazil,1998-03-29,"Mostly cloudy, 31 °C (88 °F)",0,0,0,0,0
616,Argentina,1998-04-12,N/A,0,0,0,0,0
617,Italy,1998-04-26,"Sunny, 25 °C",0,0,0,0,0
618,Spain,1998-05-10,Sunny and warm,11,0,0,0,0
619,Monaco,1998-05-24,Hot and sunny with temperatures reaching up to 22 °C (72 °F)[1],11,0,0,0,0
620,Canada,1998-06-07,Cool and overcast with air temperatures reaching up to 16 °C (61 °F); wind speeds up to 2.9 kilometres per hour (1.8 mph) reported[1],0,11,0,0,11
621,France,1998-06-28,"Sunny, warm",11,0,0,0,0
622,UK,1998-07-12,"Rain, Wet Track",0,0,0,11,0
623,Austria,1998-07-26,Sunny,11,0,0,0,0
624,Germany,1998-08-02,Cloudy but dry,0,0,11,0,11
625,Hungary,1998-08-16,"Cloudy, hot, dry, 30°C",0,0,0,0,0
626,Belgium,1998-08-30,N/A,0,0,0,0,0
627,Italy,1998-09-13,Sunny,11,0,0,0,0
628,Germany,1998-09-27,N/A,0,0,0,0,0
629,Japan,1998-11-01,Fine,11,0,0,0,0
630,Australia,1999-03-07,Sunny and dry with temperatures reaching up to 19 °C (66 °F)[1],11,0,11,0,0
631,Brazil,1999-04-11,"Sunny, hot, dry 25 °C (77 °F)[1]",0,0,11,0,0
632,Italy,1999-05-02,"Sunny, mild, dry, 23 °C",0,0,0,0,0
633,Monaco,1999-05-16,"Sunny, hot, dry",0,0,11,0,0
634,Spain,1999-05-30,"Cloudy, hot, dry 22 °C (72 °F)[1]",0,0,11,0,0
635,Canada,1999-06-13,Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 5.1 kilometres per hour (3.2 mph)[1] Track 41–43 °C (106–109 °F),11,0,0,0,0
636,France,1999-06-27,"Overcast, mild, dry at first, rain later on",0,0,11,11,0
637,UK,1999-07-11,"Sunny, mild, dry",0,0,11,0,0
638,Austria,1999-07-25,"Overcast, mild, dry",0,0,11,0,0
639,Germany,1999-08-01,"Partially cloudy, very hot, dry",0,0,11,0,0
640,Hungary,1999-08-15,"Partially cloudy, hot, dry, Air: 25 °C (77 °F), Track 37 °C (99 °F)",0,0,0,0,0
641,Belgium,1999-08-29,"Partially cloudy, mild, dry",0,0,11,0,0
642,Italy,1999-09-12,Hot and dry with temperatures reaching up to 30 °C (86 °F)[1],11,0,11,0,0
643,Germany,1999-09-26,N/A,0,0,0,0,0
644,Malaysia,1999-10-17,"Cloudy, hot, dry",0,0,11,0,0
645,Japan,1999-10-31,"Overcast, mild, dry",0,0,11,0,0
646,Australia,2000-03-12,"Sunny,[2] Air Temp: 20 °C",0,0,0,0,0
647,Brazil,2000-03-26,"Sunny, Air: 22 °C (72 °F), Track: 35 °C (95 °F)",0,0,0,0,0
648,Italy,2000-04-09,"Overcast, Mild, Dry, 16 °C",0,0,0,0,0
649,UK,2000-04-23,"Sunny, mild, dry, Air Temp: 10 °C (50 °F)",0,0,0,0,0
650,Spain,2000-05-07,"Sunny, Mild, Dry",0,0,11,0,0
651,Germany,2000-05-21,"Dry at first, rain later on, Air: 11 °C (52 °F), Track: 12 °C (54 °F)",0,0,11,11,0
652,Monaco,2000-06-04,Sunny,11,0,0,0,0
653,Canada,2000-06-18,"Cloudy and raining; Air 17 °C (63 °F), Track 21 °C (70 °F)",0,0,0,0,11
654,France,2000-07-02,"Sunny, dry, Air Temp: 27°C",0,0,0,0,0
655,Austria,2000-07-16,"Partially cloudy, dry",0,0,11,0,0
656,Germany,2000-07-30,Dry/Wet,0,0,0,0,0
657,Hungary,2000-08-13,"Partially cloudy, very hot, dry",0,0,11,0,0
658,Belgium,2000-08-27,"Wet at start, drying, Air & track temperature; 15 °C (59 °F)",0,0,0,11,0
659,Italy,2000-09-10,Sunny with temperatures reaching up to 29 °C (84 °F)[3],11,0,0,0,0
660,USA,2000-09-24,"Cloudy, drying, Air 12 °C (54 °F), Track 14 °C (57 °F)",0,0,0,0,0
661,Japan,2000-10-08,Dry/wet,0,0,0,0,0
662,Malaysia,2000-10-22,"Overcast, Very hot, Dry",0,0,11,0,0
663,Australia,2001-03-04,"Cloudy, sunny later",11,0,0,0,0
664,Malaysia,2001-03-18,"Rain and Thunderstorms at start, dry later; Air Temp at start: 32 °C (90 °F)",0,0,11,11,0
665,Brazil,2001-04-01,N/A,0,0,0,0,0
666,Italy,2001-04-15,N/A,0,0,0,0,0
667,Spain,2001-04-29,"Overcast, Mild, Dry, Air Temp: 18°C",0,0,0,0,0
668,Austria,2001-05-13,"Sunny, Air: 18 to 19 °C (64 to 66 °F), Track 18 to 32 °C (64 to 90 °F)",0,0,0,0,0
669,Monaco,2001-05-27,"Warm and Sunny, Air Temp: 23 °C (73 °F), Track 36 to 39 °C (97 to 102 °F)",11,0,0,0,0
670,Canada,2001-06-10,Sunny,11,0,0,0,0
671,Germany,2001-06-24,"Sunny, mild, dry, Air Temp: 21°C",0,0,0,0,0
672,France,2001-07-01,Sunny,11,0,0,0,0
673,UK,2001-07-15,"Partially cloudy, mild, dry, Air Temp: 16 °C (61 °F), Track 27 °C (81 °F)",0,0,0,0,0
674,Germany,2001-07-29,"Partially cloudy, very hot, dry",0,0,11,0,0
675,Hungary,2001-08-19,"Hot, dry and partially cloudy",0,0,11,0,11
676,Belgium,2001-09-02,"Overcast, mild, dry, Air Temp: 12 to 16 °C (54 to 61 °F)",0,0,0,0,0
677,Italy,2001-09-16,"Sunny, partly cloudy, Air: 19 to 20 °C (66 to 68 °F), Track 26 °C (79 °F)",0,0,0,0,0
678,USA,2001-09-30,N/A,0,0,0,0,0
679,Japan,2001-10-14,"Cloudy, Mild, Dry, Air Temp: 24°C",0,0,0,0,0
680,Australia,2002-03-03,"Cloudy at start, clearing to sunny skies.",11,0,0,0,11
681,Malaysia,2002-03-17,"Partially cloudy, hot and dry",11,0,11,0,0
682,Brazil,2002-03-31,"Clear, Air Temp: 30°C",0,0,0,0,0
683,Italy,2002-04-14,"Scattered thunderstorms, but remaining dry. Air Temp: 18°C",0,0,0,0,0
684,Spain,2002-04-28,"Clear, Air Temp: 20°C",0,0,0,0,0
685,Austria,2002-05-12,"Clear, Air Temp: 20°C",0,0,0,0,0
686,Monaco,2002-05-26,"Fine, Air Temp: 22°C",0,0,0,0,0
687,Canada,2002-06-09,Mostly fine and humid with temperatures reaching a maximum of 24.1 °C (75.4 °F); wind speeds up to 8 kilometres per hour (5.0 mph)[1],11,0,0,0,0
688,Germany,2002-06-23,"Mainly Fine, Air Temp: 18°C",0,0,0,0,0
689,UK,2002-07-07,"Dry/Wet, Air Temp: 21°C",0,0,0,0,0
690,France,2002-07-21,"Warm and sunny, Air Temp: 25°C",11,0,0,0,0
691,Germany,2002-07-28,"Fine, Air Temp: 28°C",0,0,0,0,0
692,Hungary,2002-08-18,"Partially cloudy, hot and sunny, Air Temp: 28 °C (82 °F)[1]",11,0,0,0,0
693,Belgium,2002-09-01,"Cloudy, Air: 17 °C (63 °F), Track 25 °C (77 °F)[1]",0,0,0,0,0
694,Italy,2002-09-15,"Sunny, hot, dry 23°C",0,0,11,0,0
695,USA,2002-09-29,Sunny with temperatures reaching up to 80.1 °F (26.7 °C); wind speeds approaching a maximum of 10.1 miles per hour (16.3 km/h)[1] Track 93 °F (34 °C),11,0,0,0,0
696,Japan,2002-10-13,"Sunny, Air: 26 °C (79 °F), Track 30 °C (86 °F)",0,0,0,0,0
697,Australia,2003-03-09,N/A,0,0,0,0,0
698,Malaysia,2003-03-23,"Fine, air temperature 34°C (93°F)",0,0,0,0,0
699,Brazil,2003-04-06,Rainy: 20 °C (68 °F),0,0,0,0,0
700,Italy,2003-04-20,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.,0,0,0,0,11
701,Spain,2003-05-04,Clear,11,0,0,0,0
702,Austria,2003-05-18,Mostly cloudy with isolated showers in the area,0,0,0,11,11
703,Monaco,2003-06-01,Fine,11,0,0,0,0
704,Canada,2003-06-15,Partly cloudy and mild with temperatures reaching a maximum of 19.3 °C (66.7 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph)[1],11,0,0,0,11
705,Germany,2003-06-29,Mostly cloudy with maximum ambient temperatures reaching 25 degrees celsius during the day.,0,0,0,0,11
706,France,2003-07-06,"Cloudy, Air: 26 °C (79 °F), Track 35 °C (95 °F)",0,0,0,0,0
707,UK,2003-07-20,"Sunny at start, cloudy later, Air: 24 °C (75 °F), Track 29 °C (84 °F)",11,0,0,0,11
708,Germany,2003-08-03,Fine,11,0,0,0,0
709,Hungary,2003-08-24,N/A,0,0,0,0,0
710,Italy,2003-09-14,Sunny,11,0,0,0,0
711,USA,2003-09-28,Scattered showers with temperatures up to 69.1 °F (20.6 °C); wind speeds up to 14 miles per hour (23 km/h)[1],0,0,0,11,0
712,Japan,2003-10-12,"Cloudy, Air: 22 °C (72 °F), Track 25 °C (77 °F)",0,0,0,0,0
713,Australia,2004-03-07,Dry & cloudyAir Temp 20 °C (68 °F),0,0,11,0,0
714,Malaysia,2004-03-21,"Dry, light rain at the startAir Temp 34 °C (93 °F)",0,0,0,11,0
715,Bahrain,2004-04-04,"Warm, dry and overcast",0,0,11,0,11
716,Italy,2004-04-25,N/A,0,0,0,0,0
717,Spain,2004-05-09,Clear,11,0,0,0,0
718,Monaco,2004-05-23,N/A,0,0,0,0,0
719,Germany,2004-05-30,"Cloudy at start, sunny later",11,0,0,0,11
720,Canada,2004-06-13,N/A,0,0,0,0,0
721,USA,2004-06-20,N/A,0,0,0,0,0
722,France,2004-07-04,Sunny,11,0,0,0,0
723,UK,2004-07-11,"Cloudy, Air: 17 °C (63 °F), Track 27 °C (81 °F)",0,0,0,0,0
724,Germany,2004-07-25,Sunny,11,0,0,0,0
725,Hungary,2004-08-15,"Warm, dry and sunny, Air: 26 °C (79 °F), Track 42 °C (108 °F)",0,0,11,0,0
726,Belgium,2004-08-29,Dry with temperatures reaching up to 15 °C (59 °F)[1],0,0,11,0,0
727,Italy,2004-09-12,"Wet track at the start, dry later on",0,0,11,11,0
728,China,2004-09-26,Sunny with temperatures reaching up to 27 °C (81 °F)[1],11,0,0,0,0
729,Japan,2004-10-10,Sunny,11,0,0,0,0
730,Brazil,2004-10-24,Dry/Wet,0,0,0,0,0
731,Australia,2005-03-06,"Cool, partly cloudy",0,0,0,0,11
732,Malaysia,2005-03-20,"Fine, Air: 34–36°C (93–97°F) and Track: 44–50°C (111–122°F)",0,0,0,0,0
733,Bahrain,2005-04-03,"Sunny, 42 °C (108 °F)[1]",0,0,0,0,0
734,Italy,2005-04-24,Warm and cloudy,11,0,0,0,11
735,Spain,2005-05-08,"Sunny, warm",11,0,0,0,0
736,Monaco,2005-05-22,Fine,11,0,0,0,0
737,Germany,2005-05-29,"Partly cloudy, hot and dry",11,0,11,0,0
738,Canada,2005-06-12,Cloudy and hot with temperatures approaching 32.5 °C (90.5 °F); wind speeds up to 5.1 kilometres per hour (3.2 mph)[1] Track 43–47 °C (109–117 °F),11,0,0,0,11
739,USA,2005-06-19,"Cloudy, temperatures up to 77 °F (25 °C); wind speeds up to 11.1 miles per hour (17.9 km/h)[4]",0,0,0,0,0
740,France,2005-07-03,"Sunny, Air: 32 °C (90 °F), Track 53 °C (127 °F)",0,0,0,0,0
741,UK,2005-07-10,N/A,0,0,0,0,0
742,Germany,2005-07-24,N/A,0,0,0,0,0
743,Hungary,2005-07-31,"Sunny, Air: 34 °C (93 °F), Track 45 °C (113 °F)",0,0,0,0,0
744,Turkey,2005-08-21,Sunny; 30°C Air; 45°C Track,0,0,0,0,0
745,Italy,2005-09-04,N/A,0,0,0,0,0
746,Belgium,2005-09-11,N/A,0,0,0,0,0
747,Brazil,2005-09-25,"Cloudy, dry, Air: 23 °C (73 °F), Track 22 °C (72 °F)",0,0,0,0,0
748,Japan,2005-10-09,Partially cloudy and dry with temperatures reaching up to 25 °C (77 °F)[1],0,0,11,0,11
749,China,2005-10-16,Sunny,11,0,0,0,0
750,Bahrain,2006-03-12,"Fine, Dry and HotAir Temp 23 °C (73 °F)[1]Track Temp 40 °C (104 °F)[1] dropping to 34 °C (93 °F)",0,0,11,0,0
751,Malaysia,2006-03-19,"Fine, Air Temp: 33°C, Wind Speed: 1.5 m/s, Humidity: 61%",0,0,0,0,0
752,Australia,2006-04-02,Cloudy with sunny breaks. Air temperature 20°C,11,0,0,0,11
753,Italy,2006-04-23,Sunny,11,0,0,0,0
754,Germany,2006-05-07,N/A,0,0,0,0,0
755,Spain,2006-05-14,Sunny,11,0,0,0,0
756,Monaco,2006-05-28,Fine,11,0,0,0,0
757,UK,2006-06-11,Sunny,11,0,0,0,0
758,Canada,2006-06-25,Sunny and warm with temperatures reaching up to 28 °C (82 °F); wind speeds up to 4.1 kilometres per hour (2.5 mph)[1],11,0,0,0,0
759,USA,2006-07-02,"Sunny, hot",11,0,0,0,0
760,France,2006-07-16,N/A,0,0,0,0,0
